# 后端 LLM 错误
401 = API密钥无效 | 莱姆？密钥填写错误啦！
404 = 找不到对应页面 | 呜...莱姆，找不到对应的模型。
network_error = 网络连接失败 | 莱姆的网络好像断开连接了呢？要不要试试重新连接网络？
default_error = 未注明的错误 | 呜啊啊啊，搞不懂啦...

# 前端 HTTP 错误
400 = 请求参数错误 | 莱姆？好像发送的数据出错啦
401_http = 未授权 | 莱姆？好像没有授权呢，要再试试吗？
403 = 权限不足 | 莱姆！我们的访问好像被拒绝啦！难道是莱姆的权限还不够吗？
404_http = 未查询到资源 | 莱姆？灵灵没有找到对应的资源呢呜呜。
409 = 操作冲突 | 嘛，真是的，莱姆太心急了啦，还有别的操作正在进行呢。
500 = 服务器错误 | 服务器好像出了点小问题呢，莱姆真的有好好的启动服务器吗？
502 = 网关错误 | 网关的设置看来出错了呢...莱姆要检查一下吗？
503 = 服务不可用 | 服务器并没有返回什么数据啦。难道是服务器消极怠工了吗？哇...和莱姆周末一样呢。

# 切换文本
switch_success = 角色切换成功~ | 莱姆！灵灵已经迫不及待啦！
switch_fail = 角色切换失败 | 呜呜...切换的时候出了点问题呢

# 刷新文本
refresh_success = 角色列表刷新成功 | 莱姆？咱们又有新伙伴了吗？
refresh_fail = 角色列表刷新失败 | 哇...怎么会这样子...
